cp,section_region,area_overlap
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Queen Charlotte Strait,172557152.63023755
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Continental Slope,773524480.9925956
mpatt_eco_birds_cassinsauklet_colonies_seasketch,CC,77113697.98544797
mpatt_eco_birds_cassinsauklet_colonies_seasketch,NCVI,334260124.6546227
mpatt_eco_birds_cassinsauklet_colonies_seasketch,NC,67516157.52511688
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Hecate Strait,1040044419.2686036
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Vancouver Island Shelf,391313546.59442556
mpatt_eco_birds_cassinsauklet_colonies_seasketch,NCCC,243912460.0294916
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Dixon Entrance,294514875.4881996
mpatt_eco_birds_cassinsauklet_colonies_seasketch,HG,2327405969.878688
mpatt_eco_birds_cassinsauklet_colonies_seasketch,Queen Charlotte Sound,696465737.6744561
mpatt_eco_coarse_ecosections_data,Transitional Pacific,170978573258.1004
mpatt_eco_coarse_ecosections_data,Queen Charlotte Strait,6950705783.757288
mpatt_eco_coarse_ecosections_data,Continental Slope,35684292964.15491
mpatt_eco_coarse_ecosections_data,CC,45854528727.984314
mpatt_eco_coarse_ecosections_data,NCVI,38571750097.290535
mpatt_eco_coarse_ecosections_data,NC,51368423348.15891
mpatt_eco_coarse_ecosections_data,Hecate Strait,17646116146.881416
mpatt_eco_coarse_ecosections_data,Vancouver Island Shelf,35896539175.96091
mpatt_eco_coarse_ecosections_data,NCCC,5870382857.677387
mpatt_eco_coarse_ecosections_data,Dixon Entrance,14676393904.626457
mpatt_eco_coarse_ecosections_data,North Coast Fjords,93024689832.65489
mpatt_eco_coarse_ecosections_data,Juan de Fuca Strait,3127891480.574081
mpatt_eco_coarse_ecosections_data,Subarctic Pacific,148504613656.9993
mpatt_eco_coarse_ecosections_data,Johnstone Strait,18934553342.7372
mpatt_eco_coarse_ecosections_data,HG,55967075703.62156
mpatt_eco_coarse_ecosections_data,Queen Charlotte Sound,37799443054.70798
mpatt_eco_coarse_ecosections_data,Strait of Georgia,27070651196.88201
mpatt_eco_birds_ancientmurrelet_colonies_seasketch,Hecate Strait,998297945.339476
mpatt_eco_birds_ancientmurrelet_colonies_seasketch,Dixon Entrance,235942542.45891902
mpatt_eco_birds_ancientmurrelet_colonies_seasketch,HG,1910564317.4076555
mpatt_eco_birds_ancientmurrelet_colonies_seasketch,Queen Charlotte Sound,193568608.3366471
mpatt_eco_birds_ancientmurrelet_colonies_seasketch,Continental Slope,482755240.14916104
