Sub-Activity,Functional Group,Species Common Name,Combined Consequence and Confidence Score
Pelagic and mid-water trawls,Lingcod,Lingcod,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Shelf rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Canary rockfish,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Greenstriped rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Silvergray rockfish ,VERY HIGH
Pelagic and mid-water trawls,Shelf rockfish,Widow rockfish,HIGH
Pelagic and mid-water trawls,Shelf rockfish,Yellowtail rockfish,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Slope rockfish,HIGH
Pelagic and mid-water trawls,Slope rockfish,Darkblotched rockfish,HIGH
Pelagic and mid-water trawls,Slope rockfish,Pacific ocean perch,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Redbanded rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Redstripe rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Rougheye rockfish,VERY HIGH
Pelagic and mid-water trawls,Slope rockfish,Shortraker rockfish,MEDIUM
Pelagic and mid-water trawls,Slope rockfish,Yellowmouth rockfish,HIGH
Pelagic and mid-water trawls,Pelagic fish,Pelagic fish,MEDIUM
Mid-water gill-nets,Wetland and coastal birds,Wetland and coastal birds,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Pelagic forage-fish piscivores/planktivores,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Common murres,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Rhinoceros auklets ,VERY HIGH
Mid-water gill-nets,Pelagic forage-fish piscivores/planktivores,Cassin’s auklets ,VERY HIGH
Mid-water gill-nets,Coastal piscivores,Coastal piscivores,HIGH
Mid-water gill-nets,Coastal piscivores,Marbled murrelet,HIGH
Mid-water gill-nets,Coastal piscivores,Unspecified Cormorant  ,HIGH
Mid-water gill-nets,Coastal piscivores,Brandt’s cormorant ,HIGH
Mid-water gill-nets,Coastal piscivores,Pelagic cormorant ,HIGH
Mid-water gill-nets,Coastal piscivores,Double-crested Cormorant,HIGH
Mid-water gill-nets,Pacific salmon,Pacific salmon,HIGH
Mid-water gill-nets,Pacific salmon,Sockeye salmon,HIGH
Mid-water gill-nets,Pacific salmon,Pink salmon,HIGH
