,hu_co_pelagicfishing_pelagicandmidwatertrawls_d,hu_co_pelagicfishing_purseseine_d,hu_co_pelagicfishing_midwatergillnetscom_d,hu_rf_pelagicfishing_midwatergillnetsrec_d,hu_co_demersalfishing_hookandlinecom_d,hu_co_demersalfishing_hookandlinecom_d,hu_co_demersalfishing_bottomtrawling_d,hu_co_demersalfishing_trapcom_d,hu_rf_demersalfishing_traprec_d,hu_co_demersalfishing_hookandlinecom_d,hu_rf_demersalfishing_hookandlinerec_d,hu_co_highpressurehosestinger_highpressurehosestinger_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_co_beachseinecasnetsdipnets_beachseinecasnetsdipnetscom_d,hu_rf_beachseinecasnetsdipnets_beachseinecasnetsdipnetsrec_d,hu_co_fishwheels_fishwheels_d,hu_co_scubadivefishing_scubadivefishingcom_d,hu_rf_scubadivefishing_scubadivefishingrec_d,hu_rf_spearfishing_spearfishing_d,hu_hu_hunting_hunting_d,hu_aq_finfishaquaculture_opennetpens_d,hu_aq_shellfishaquaculture_shellfishaquaculture_d,hu_aq_shellfishaquaculture_beachseeding_d,hu_aq_shellfishaquaculture_longlines_d,hu_aq_shellfishaquaculture_floatingraftfloatingbagsuspension_d,hu_co_commercialplantharvest_seaweedharvest_d,hu_aq_fisheriesenhancement_bioticenhancementseelgrassrest_d,hu_aq_fisheriesenhancement_bioticenhancementssaltmarshrest_d,hu_aq_fisheriesenhancement_abioticenhancementsartificialreef_d,hu_aq_fisheriesenhancement_abioticenhancementssubstrateadd_d,hu_aq_fisheriesenhancement_oceanfertilization_d,hu_ma_oilandgas_seismicsurveys_d,hu_ma_oilandgas_exploratorydrilling_d,hu_ma_oilandgas_extractionofoilandgas_d,hu_ma_oilandgas_catastrophicoilspills_d,hu_ma_windpower_windpower_d,hu_ma_oceanturbines_oceanturbines_d,hu_ma_tidalcurrent_tidalstream_d,hu_ma_tidalcurrent_tidalwaveenergy_d,hu_ma_waveenergy_waveenergy_d,hu_tr_largevesselscargoandcruiseships_largevesselscargo_d,hu_tr_largevesselscargoandcruiseships_vesselstrikes_d,hu_tr_largevesselscargoandcruiseships_vesselnoise_d,hu_tr_largevesselscargoandcruiseships_ballastwaterexchange_d,hu_tr_largevesselscargoandcruiseships_anchoring_d,hu_tr_largevesselscargoandcruiseships_sonar_d,hu_tr_largevesselscargoandcruiseships_othervesselinteractions_d,hu_tr_largevesselscargoandcruiseships_floatplanes_d,hu_co_scubadivefishing_scubadivefishingcom_d,hu_re_nonmotorizedrecreationalboating_nonmotorizedrecboating_d,hu_re_motorizedrecreationalboating_motorizedrecboating_d,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,hu_re_shoreuseintertidalexploration_shoreuseintertidalexplor_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,hu_ot_loghandlingstorageandtransportation_logtransportation_d,hu_ot_dredging_dredging_d,hu_ot_industrialwateruse_industrialwateruse_d,hu_ot_industrialwateruse_desalination_d,hu_ot_industrialwateruse_otherindustrialuses_d,hu_ot_dischargesanddisposal_sewageeffluentfromterrestrial_d,hu_ot_dischargesanddisposal_terrestrialminerunoff_d,hu_ot_dischargesanddisposal_pulpandpapermills_d,hu_ot_dredging_dredging_d,hu_ot_dischargesanddisposal_chronicoilpollution_d,hu_ot_industrialwateruse_otherindustrialuses_d,hu_ot_underwaterinfrastructure_seafloorelectricalcommscables_d,hu_ot_underwaterinfrastructure_seafloorpipelinesfortransoil_d,hu_ot_underwaterinfrastructure_constructionofmarineinfras_d,hu_ot_shorelineworks_nearwaterconstruction_d,hu_ot_shorelineworks_inwaterconstruction_d
fed_ghmarineconservationareareservehaidaheritagesite_full,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_CC,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_HG,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_NC,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpaadap_NVI,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_CC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_NC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
fed_hecatestraitqueencharlottesoundglassspongereefsmpacore_NVI,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pro_allisonharbourmarinepark,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,Y?,Y?,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
pro_annevalleetriangleislandecologicalreserve,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
