species.name,dataset,dataset.name,Sub.Activity,UID,Consequence.Score,Overall.Confidence.Score
Fin whale,eco_mammals_finwhale_ia_d,finwhale,VesselStrikes,hu_tr_largevesselscargoandcruiseships_vesselstrikes_d,Major Negative,Very High
Fin whale,eco_mammals_finwhale_hsi_d,finwhale,VesselStrikes,hu_tr_largevesselscargoandcruiseships_vesselstrikes_d,Major Negative,Very High
Fin whale,eco_mammals_finwhale_density_d,finwhale,VesselStrikes,hu_tr_largevesselscargoandcruiseships_vesselstrikes_d,Major Negative,Very High
Fin whale,eco_mammals_finwhale_ia_d,finwhale,MotorizedRecBoating,hu_re_motorizedrecreationalboating_motorizedrecboating_d,Minor Negative,Very High
Fin whale,eco_mammals_finwhale_hsi_d,finwhale,MotorizedRecBoating,hu_re_motorizedrecreationalboating_motorizedrecboating_d,Minor Negative,Very High
Fin whale,eco_mammals_finwhale_density_d,finwhale,MotorizedRecBoating,hu_re_motorizedrecreationalboating_motorizedrecboating_d,Minor Negative,Very High
Fin whale,eco_mammals_finwhale_ia_d,finwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Blue Whale,eco_mammals_bluewhale_ia_d,bluewhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Fin whale,eco_mammals_finwhale_hsi_d,finwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Minke whale,eco_mammals_minkewhale_density_d,minkewhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Sei whale,eco_mammals_seiwhale_ia_d,seiwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Fin whale,eco_mammals_finwhale_density_d,finwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
North Pacific Right Whale,No data,NA,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Humpback Whale,eco_mammals_humpbackwhale_ch_d,humpbackwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Humpback Whale,eco_mammals_humpbackwhale_density_d,humpbackwhale,Windturbinesinshallowtransitionaldeepwaters,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,Minor Negative,Low
Fin whale,eco_mammals_finwhale_ia_d,finwhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
Blue Whale,eco_mammals_bluewhale_ia_d,bluewhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
Fin whale,eco_mammals_finwhale_hsi_d,finwhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
Minke whale,eco_mammals_minkewhale_density_d,minkewhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
Sei whale,eco_mammals_seiwhale_ia_d,seiwhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
Fin whale,eco_mammals_finwhale_density_d,finwhale,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
North Pacific Right Whale,No data,NA,OpenNetPens,hu_aq_finfishaquaculture_opennetpens_d,Minor Negative,High
