Sub-Activity,SpeciesCommonName,ConsequenceScore
Trolling/Rod and Reel,Albacoretuna,LOW
Trolling/Rod and Reel,Albacoretuna,LOW
Floating Raft/Floating Bag Suspension,AncientMurrelet,LOW
Bottom Trawling,Arrowtoothflounder,LOW
Longlines,BaldEagle,LOW
NA,BaldEagle,MODERATE
NA,BaldEagle,MODERATE
Catastrophic oil spills,BaldEagle,MODERATE
Trap,BambooCoral,LOW
Trap,BambooCoral,LOW
Bottom Trawling,Bamboocoral,HIGH
Bottom Longline,Bamboocoral,MODERATE
Catastrophic oil spills,BarrowsGoldeneye,HIGH
Mid-water gill-nets,Baskingshark,HIGH
Purse Seine,Baskingshark,HIGH
Bottom Trawling,Baskingshark,HIGH
Bottom Longline,Baskingshark,HIGH
Open Net Pens,Baskingshark,HIGH
Trolling/Rod and Reel,Bigeyethreshershark,LOW
Trolling/Rod and Reel,Bigeyethreshershark,LOW
Bottom Trawling,Bigeyethreshershark,LOW
Bottom Trawling,Bigskate,LOW
Bottom Longline,Bigskate,LOW
NA,Blackchiton,HIGH
NA,Blackchiton,HIGH
Bottom Longline,Blackfootedalbatross,HIGH
Longlines,BlackOystercatcher,MODERATE
Floating Raft/Floating Bag Suspension,BlackOystercatcher,MODERATE
Bottom Trawling,Blackskate/sandpaperskate,LOW
Catastrophic oil spills,Blackturnstone,HIGH
Trolling/Rod and Reel,Blueshark,LOW
Trolling/Rod and Reel,Blueshark,LOW
Bottom Trawling,Blueshark,LOW
Bottom Longline,Blueshark,LOW
Vessel Strikes,Bluewhale,MODERATE
Vessel Noise,Bluewhale,MODERATE
Vessel Sonar,Bluewhale,HIGH
NA,Bluewhale,MODERATE
NA,Bluewhale,MODERATE
Bottom Trawling,Bluntnosesixgillshark,MODERATE
Bottom Trawling,Bocaccio,LOW
Kelp Harvest,Bocaccio,MODERATE
Trap,Boxcrabs,MODERATE
Trap,Boxcrabs,MODERATE
Mid-water gill-nets,Brandt’scormorant,HIGH
Beach Seeding,Brandt’sCormorant,MODERATE
Longlines,Brandt’sCormorant,MODERATE
Floating Raft/Floating Bag Suspension,Brandt’sCormorant,MODERATE
Beach Seeding,Brant,LOW
Longlines,Brant,LOW
Floating Raft/Floating Bag Suspension,Brant,LOW
Bottom Trawling,Browncatshark,MODERATE
NA,Butterclam,LOW
NA,Butterclam,LOW
Bottom Longline,Californiagull,MODERATE
Beach Seeding,CaliforniaGull,LOW
Longlines,CaliforniaGull,LOW
Floating Raft/Floating Bag Suspension,CaliforniaGull,LOW
Bottom Trawling,Californiasealion,LOW
Open Net Pens,Californiasealion,MODERATE
Vessel Sonar,Californiasealion,MODERATE
Mid-water gill-nets,Cassin’sauklets,MODERATE
Mid-water gill-nets,Commonmurres,HIGH
